X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37
1,0.87,0.74,0.61,0.48,0.35,0.443898732,0.113460503,0.041717238,0.212161231,0.921595834,0.103188718,0.030151447,0.129778693,0.912785286,0.26035375,0.1,0.223937548,0.348434762,0.472554282,0.660589315,0.832317681,0.686019907,0.581992156,0.353710812,0.210272353,0.063076203,0.460051941,0.64934178,0.109159718,0.391861955,0.652952548,0.231440004,0.726481722,0.569870258,0.112170914,0.884954651,0.404956487
1,0.87,0.74,0.61,0.48,0.35,0.987402342,0.514207491,0.882244195,0.150570127,0.681734738,0.084173957,0.647532635,0.748719437,0.799687485,0.09137764,0.1,0.222048752,0.347638596,0.461818404,0.638813743,0.840217908,0.696934638,0.456480779,0.255925228,0.047418964,-0.08947652,0.87828486,0.432793693,0.873451856,0.045456368,0.688493629,0.224873475,0.267512363,0.3754323,0.805832198,0.563949561,0.423521429
1,0.87,0.74,0.61,0.48,0.35,0.914541093,0.419181877,0.142961851,0.090168754,0.324478346,0.316493763,0.271975567,0.457021308,0.879658446,0.829408259,0.1,0.241927661,0.371191426,0.481505794,0.600992519,0.791842022,0.555665476,0.270635458,0.148143376,0.036513385,-0.062761385,0.465607387,0.713539216,0.011477543,0.075242877,0.581756579,0.916636104,0.13463376,0.542792361,0.347109596,0.923620748,0.655554301
1,0.87,0.74,0.61,0.48,0.35,0.487765887,0.874620983,0.628628756,0.116878266,0.063172641,0.257894535,0.970155191,0.325198486,0.473629725,0.478774657,0.1,0.226009672,0.331286528,0.434879257,0.538260439,0.683543748,0.572633313,0.315481443,0.077087635,-0.065674485,-0.162554652,0.411465418,0.661879669,0.330759711,0.620968981,0.559794185,0.073008522,0.451536285,0.092366455,0.362459531,0.360372305,0.431429388
1,0.87,0.74,0.61,0.48,0.35,0.901948667,0.803833937,0.106601048,0.840543424,0.577903911,0.252571959,0.564300341,0.183511602,0.395672344,0.600984572,0.1,0.258098435,0.370744752,0.526626689,0.735885026,0.956905409,0.693283201,0.482941175,0.393437109,0.234257925,0.147008434,0.602547879,0.205493429,0.184440948,0.053048164,0.127498413,0.765417304,0.493505954,0.647394591,0.332825539,0.526239668,0.87074635
1,0.87,0.74,0.61,0.48,0.35,0.687205708,0.226938972,0.08902052,0.77657192,0.362920667,0.717962021,0.063700038,0.831040463,0.932209432,0.738106544,0.1,0.278985948,0.408743386,0.556634481,0.707911172,0.964786988,0.706535212,0.547773927,0.405059328,0.189775732,0.026640297,0.454004482,0.506863617,0.891481285,0.965115477,0.989961593,0.529699269,0.571726375,0.733121585,0.365507731,0.331922254,0.378144498
1,0.87,0.74,0.61,0.48,0.35,0.72214477,0.297392144,0.73053524,0.221310794,0.908619988,0.152085138,0.36150829,0.083909091,0.507293408,0.172272187,0.1,0.239100223,0.358448633,0.469119262,0.648436418,0.868059827,0.685530984,0.545769109,0.442497944,0.27757818,0.158067839,0.778489679,0.475591499,0.60940365,0.00349922,0.011121891,0.608979413,0.477098376,0.053379761,0.636391748,0.075780709,0.535096945
1,0.87,0.74,0.61,0.48,0.35,0.62951092,0.386342618,0.780719326,0.34011937,0.64815743,0.646134802,0.055559222,0.579191225,0.715456535,0.526839925,0.1,0.205423111,0.330180997,0.472606933,0.597409411,0.721844062,0.51466785,0.425411804,0.306706738,0.211175986,0.103925841,0.30635567,0.10732553,0.907358525,0.379917185,0.126162712,0.522633673,0.348080961,0.569226204,0.650088306,0.367785376,0.112956216
1,0.87,0.74,0.61,0.48,0.35,0.617440315,0.286487457,0.161540884,0.581877353,0.441579578,0.275014719,0.23680628,0.088174112,0.534673079,0.350535101,0.1,0.274063457,0.375556791,0.516173803,0.696704176,0.816197305,0.66531322,0.57026103,0.368834016,0.285441724,0.108398633,0.681525019,0.226156819,0.08652855,0.886856552,0.374882994,0.869442145,0.128116816,0.553833963,0.267507389,0.085322502,0.506538613
1,0.87,0.74,0.61,0.48,0.35,0.948929533,0.412356797,0.522214649,0.81011438,0.55383347,0.997977074,0.058441138,0.321262257,0.158565997,0.165306561,0.1,0.206803996,0.319312214,0.468138815,0.648117782,0.74934876,0.596986663,0.392150401,0.140171569,0.057981256,-0.02769743,0.63969751,0.15612212,0.121539167,0.255343074,0.613811592,0.183851325,0.006937281,0.223329329,0.020003086,0.455945902,0.762344736
